"AISID";"USRCHONumber";"ObjectNameOnDoc";"EnsembleNameOnDoc";"SecurityStatus";"Category";"ObjectType";"global_id";
"Идентификатор в АИС Мосгорнаследия";"Номер ЕГРОКН";"Наименование объекта по документам";"Наименование ансамбля по документам";"Охранный статус";"Категория объекта";"Вид объекта недвижимости";"global_id";
"af594ba5-d569-11e5-87bd-005056806bb6";"";"Селище Дмитрово 1 (XVI-XVII вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623718";
"b19510bc-8e56-11e7-9b3e-005056806bb6";"772241374680006";"""Курганный могильник ""Лосиный остров–2"", XI–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623719";
"b1c82526-7b80-11e7-8ad1-005056806bb6";"";"Селище ""Кузовлево 2"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623720";
"b249eb05-56f9-11e2-965f-005056806bb6";"";"Территория культурного слоя ""Солодяники слободы"" XV-XVI вв. н.э. (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623721";
"b249eb29-56f9-11e2-965f-005056806bb6";"771441198530006";"""4–е Спас–Тушинское селище"", XII–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623722";
"b249eb5c-56f9-11e2-965f-005056806bb6";"771441198510006";"""3–е Спас–Тушинское селище"", XII–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623724";
"b249ec0f-56f9-11e2-965f-005056806bb6";"771441196450006";"Поселение домонгольского периода на 1-м Спас-Тушинском городище, XI-XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623725";
"b580db07-d4ae-11e5-87bd-005056806bb6";"";"Селище Романцево 1 (XV-XVI вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623726";
"b58e48fe-123c-11e8-9c1f-005056806bb6";"";"Сад при Государевом дворе, северная часть (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623727";
"b6074eaa-3eb8-11e7-a3bd-005056806bb6";"";"Селище ""Горнево 1"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623729";
"b76a0c98-1e2c-11e8-9e37-005056806bb6";"";"Культурный слой села Дьяково с некрополем у церкви Усекновения главы Иоанна Предтечи (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623731";
"b8e6af5a-56f9-11e2-965f-005056806bb6";"771440981410006";"Территория культурного слоя Рождественского монастыря, XIV-XVII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623732";
"b8e6af5c-56f9-11e2-965f-005056806bb6";"771440655730006";"Территория культурного слоя ""Села Калитниково"", XV-XVI вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623733";
"b8e6af89-56f9-11e2-965f-005056806bb6";"771741214710016";"Дер. Пенягино. XVI-XIX вв. - ""2–е Пенягинское селище"", XV–XVII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623734";
"b8e6afd3-56f9-11e2-965f-005056806bb6";"771440981650006";"Территория культурного слоя и подземные конструкции ""Кузнецкого моста"", XVI-XVIII вв. н.э.""";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623735";
"b8e6b03b-56f9-11e2-965f-005056806bb6";"771440981640006";"Территория культурного слоя ""Крутицкого подворья"", XIII-XVII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623737";
"b8e6b074-56f9-11e2-965f-005056806bb6";"771440981730006";"Территория культурного слоя ""Ильинской слободы"", XVI в. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623738";
"b8e6b092-56f9-11e2-965f-005056806bb6";"771440835240006";"Территория культурного слоя ""Садовничьей слободы"", XVII в. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623739";
"b8e6b097-56f9-11e2-965f-005056806bb6";"771440678480006";"""Городище Капотня"", кон. 1–го тысячелетия до н.э. – нач. 1–го тысячелетия н.э., XII–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623740";
"b8e6b0fc-56f9-11e2-965f-005056806bb6";"771441198350006";"""6–е Спас–Тушинское селище"", XII–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623741";
"be5b9a06-e495-11e7-9c1f-005056806bb6";"";"Селище ""Троицк 2"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623742";
"bf0aa968-d576-11e5-87bd-005056806bb6";"";"Селище Сосенки 1 (XIV-XVIII вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623743";
"bf21b4dd-56f9-11e2-965f-005056806bb6";"771440678490006";"Деревлевские курганы, XI-XIII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623744";
"bf21b54d-56f9-11e2-965f-005056806bb6";"771440981460006";"Территория культурного слоя ""Слободы Наливки"", XVI в. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623745";
"bf21b589-56f9-11e2-965f-005056806bb6";"";"Территория культурного слоя ""Панкратьевской слободы"", XVI-XVII вв. н.э. (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623746";
"bf21b5ed-56f9-11e2-965f-005056806bb6";"771441200250006";"Культурный слой ""Белого города"", XIV-XVII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623747";
"bf21b657-56f9-11e2-965f-005056806bb6";"771640658110046";"""Царицынские курганы, (группы 2, 3, 4, 5, 6), XI – XIII вв. н.э."" - ""Царицынские курганы. Группа № 5"", XI–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623748";
"bf2f7ee0-d4ac-11e5-87bd-005056806bb6";"";"Селище Батыбино 4 (XVI-XVIII вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623749";
"c5a90583-56f9-11e2-965f-005056806bb6";"771441198440006";"""1–е Спас–Тушинское городище"", VII в. до н.э. – VI в. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623750";
"c5a905e0-56f9-11e2-965f-005056806bb6";"771440835140006";"Территория культурного слоя ""Воротниковской новой слободы"", 2-я пол. XVII в. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623751";
"c5a9063f-56f9-11e2-965f-005056806bb6";"";"Территория культурного слоя ""Село Колычево"", XV-XVII вв. н.э. (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623752";
"c5a90669-56f9-11e2-965f-005056806bb6";"771440981590006";"Территория культурного слоя ""Садовнических слобод"", XVI-XVII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623753";
"c5a90698-56f9-11e2-965f-005056806bb6";"771440835190006";"Территория культурного слоя ""Новинской слободы"", XVII в. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623754";
"c6ea2b5c-e494-11e7-9c1f-005056806bb6";"";"Селище ""Троицк 1"" (село Троицкое) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623755";
"c93d4d12-6e38-11e7-8ad1-005056806bb6";"";"Селище ""Кузовлево 1"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623756";
"cbe67224-123d-11e8-9c1f-005056806bb6";"";"Культурный слой Государева двора (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623757";
"cbfe4400-56f9-11e2-965f-005056806bb6";"771440678510006";"Кунцевское городище, ранний железный век";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623758";
"cbfe443a-56f9-11e2-965f-005056806bb6";"771440984580006";"Красное село (место древнего поселения с зоной культурного слоя), XV-XVII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623759";
"cbfe443c-56f9-11e2-965f-005056806bb6";"";"Территория культурного слоя ""Новоспасской слободы"", XVII-XVIII вв. н.э. (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623760";
"cbfe4449-56f9-11e2-965f-005056806bb6";"771440981710006";"Территория культурного слоя Донского монастыря, кон. XVI-XIX вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623761";
